Class label,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline
1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
1,13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
1,14.02,1.74,2.45,15.2,112,2.72,2.56,0.27,1.9,5.05,1.06,3.58,1295
1,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.57,1045
1,14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
1,13.83,1.65,2.6,17.2,113,2.6,2.38,0.33,1.19,5.45,1.02,3.39,1140
1,14.2,1.7,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,14.0,2.34,2.36,19.0,103,3.0,3.17,0.26,2.85,5.1,0.89,3.52,1170
1,13.78,1.76,2.14,16.8,113,2.68,2.92,0.28,1.83,5.6,1.05,3.4,1235
1,13.73,1.5,2.7,17.6,92,2.3,2.71,0.26,1.15,5.65,1.19,3.31,1285
1,13.62,1.36,2.32,15.7,95,3.38,3.17,0.28,1.98,5.4,1.05,3.4,1280
1,13.56,1.73,2.46,20.5,116,2.96,3.03,0.22,2.38,4.3,0.75,2.81,1280
1,14.22,1.7,2.3,16.3,111,2.65,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285
1,13.5,1.81,2.61,20.0,96,2.29,2.24,0.25,1.89,3.59,1.01,2.6,680
1,13.9,1.73,2.4,18.8,104,2.92,3.29,0.33,2.01,6.6,1.03,3.5,1035
1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
1,13.23,3.3,2.6,18.6,102,2.7,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
1,14.38,1.95,2.6,20.0,123,2.85,3.0,0.28,2.06,5.84,1.17,3.2,1480
1,13.9,1.73,2.4,18.8,104,2.92,3.29,0.33,2.01,6.6,1.03,3.5,1035
1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
1,13.23,3.3,2.6,18.6,102,2.7,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
1,14.38,1.95,2.6,20.0,123,2.85,3.0,0.28,2.06,5.84,1.17,3.2,1480
1,13.67,1.9,2.21,22.0,123,2.15,1.96,0.31,1.7,4.6,0.77,3.12,1480
1,12.86,1.35,2.32,18.0,122,2.75,2.38,0.34,1.6,4.5,1.04,3.35,1035
1,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320
1,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.74,5.0,1.06,3.38,600
1,13.48,1.81,2.41,20.0,100,2.65,2.6,0.27,1.28,3.25,1.01,3.35,1180
1,13.07,1.5,2.1,15.5,98,2.6,2.64,0.28,1.66,3.4,1.0,3.1,680
1,12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880
1,14.3,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065
1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050
1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480
1,13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735
1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290
1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295
1,14.02,1.74,2.45,15.2,112,2.72,2.56,0.27,1.9,5.05,1.06,3.58,1295
1,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.57,1045
1,14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510
1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280
1,13.83,1.65,2.6,17.2,113,2.6,2.38,0.33,1.19,5.45,1.02,3.39,1140
1,14.2,1.7,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,14.0,2.34,2.36,19.0,103,3.0,3.17,0.26,2.85,5.1,0.89,3.52,1170
1,13.78,1.76,2.14,16.8,113,2.68,2.92,0.28,1.83,5.6,1.05,3.4,1235
1,13.73,1.5,2.7,17.6,92,2.3,2.71,0.26,1.15,5.65,1.19,3.31,1285
1,13.62,1.36,2.32,15.7,95,3.38,3.17,0.28,1.98,5.4,1.05,3.4,1280
1,13.56,1.73,2.46,20.5,116,2.96,3.03,0.22,2.38,4.3,0.75,2.81,1280
1,14.22,1.7,2.3,16.3,111,2.65,3.39,0.34,1.97,6.75,1.05,2.85,1450
1,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285
1,13.5,1.81,2.61,20.0,96,2.29,2.24,0.25,1.89,3.59,1.01,2.6,680
1,13.9,1.73,2.4,18.8,104,2.92,3.29,0.33,2.01,6.6,1.03,3.5,1035
1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880
1,13.23,3.3,2.6,18.6,102,2.7,3.24,0.3,2.81,5.68,1.03,3.17,1185
1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035
1,14.38,1.95,2.6,20.0,123,2.85,3.0,0.28,2.06,5.84,1.17,3.2,1480
